id,group,redbook_vol,bg_name,taxon,redbook_status,wp_exists,wp_url,wikidata_qid,redbook_url,rb_bg_name,rb_taxon,wd_bg_name,wd_taxon,content_status,wd_linked,notes
546,plants_fungi,vol1,Сръбски ранилист,Stachys serbica,EN,no,,Q3495431,http://e-ecodb.bas.bg/rdb/bg/vol1/Staserbi.html,Сръбски ранилист,Stachys serbica,сръбски ранилист,Stachys serbica,todo,,
547,plants_fungi,vol1,Старопланинска иглика,Primula frondosa,EN,no,,Q741676,http://e-ecodb.bas.bg/rdb/bg/vol1/Prifrond.html,Старопланинска иглика,Primula frondosa,старопланинска иглика,Primula frondosa,todo,,
548,plants_fungi,vol1,Стефчова тлъстига,Sedum stefco,VU,no,,Q15486904,http://e-ecodb.bas.bg/rdb/bg/vol1/Sedstefc.html,Стефчова тлъстига,Sedum stefco,стефчова тлъстига,Sedum stefco,todo,,
549,plants_fungi,vol1,Стоянова айважива,Alkanna stojanovii,EN,no,,Q15573932,http://e-ecodb.bas.bg/rdb/bg/vol1/Alkstoja.html,Стоянова айважива,Alkanna stojanovii,стоянова айважива,Alkanna stojanovii,todo,,
550,plants_fungi,vol1,Стоянова дрипавка,Crepis stojanovii,CR,no,,Q15567226,http://e-ecodb.bas.bg/rdb/bg/vol1/Crestoja.html,Стоянова дрипавка,Crepis stojanovii,стоянова дрипавка,Crepis stojanovii,todo,,
551,plants_fungi,vol1,Стоянова мащерка,Thymus stojanovii,CR,no,,Q2430361,http://e-ecodb.bas.bg/rdb/bg/vol1/Thystoja.html,Стоянова мащерка,Thymus stojanovii,стоянова мащерка,Thymus stojanovii,todo,,
552,plants_fungi,vol1,Стоянова мишовка,Minuartia stojanovii,CR,no,,Q29105989,http://e-ecodb.bas.bg/rdb/bg/vol1/Minstoja.html,Стоянова мишовка,Minuartia stojanovii,стоянова мишовка,Minuartia stojanovii,todo,,
553,plants_fungi,vol1,Стоянова паламида,Cirsium stojanovii,EN,no,,Q29106077,http://e-ecodb.bas.bg/rdb/bg/vol1/Cirstoja.html,Стоянова паламида,Cirsium stojanovii,стоянова паламида,Cirsium stojanovii,todo,,
554,plants_fungi,vol1,Стоянова теменуга,Viola stojanowii,CR,no,,Q21301605,http://e-ecodb.bas.bg/rdb/bg/vol1/Viostoja.html,Стоянова теменуга,Viola stojanowii,стоянова теменуга,Viola stojanowii,todo,,
555,plants_fungi,vol1,Стояново лютиче,Ranunculus stojanovii,CR,yes,https://bg.wikipedia.org/wiki/Стояново_лютиче,Q15378016,http://e-ecodb.bas.bg/rdb/bg/vol1/Ranstoja.html,Стояново лютиче,Ranunculus stojanovii,Стояново лютиче,Ranunculus stojanovii,todo,,
556,plants_fungi,vol1,Странджанска боровинка,Vaccinium arctostaphylos,EN,redirect,https://bg.wikipedia.org/wiki/Кавказка_боровинка,Q3002269,http://e-ecodb.bas.bg/rdb/bg/vol1/Vacarcto.html,Странджанска боровинка,Vaccinium arctostaphylos,кавказка боровинка,Vaccinium arctostaphylos,todo,,WP redirect -> Кавказка боровинка
557,plants_fungi,vol1,Странджанска детелина,Trifolium ligusticum,EN,no,,Q15543858,http://e-ecodb.bas.bg/rdb/bg/vol1/Triligus.html,Странджанска детелина,Trifolium ligusticum,странджанска детелина,Trifolium ligusticum,todo,,
558,plants_fungi,vol1,Странджанска лазаркиня,Asperula involucrata,CR,no,,Q15400563,http://e-ecodb.bas.bg/rdb/bg/vol1/Aspinvol.html,Странджанска лазаркиня,Asperula involucrata,странджанска лазаркиня,Asperula involucrata,todo,,
559,plants_fungi,vol1,Странджански воден морач,Oenanthe tenuifolia,CR,no,,Q17132091,http://e-ecodb.bas.bg/rdb/bg/vol1/Oentenui.html,Странджански воден морач,Oenanthe tenuifolia,странджански воден морач,Oenanthe tenuifolia,todo,,
560,plants_fungi,vol1,Странджанско бясно дърво,Daphne pontica,EN,yes,https://bg.wikipedia.org/wiki/Странджанско_бясно_дърво,Q2103863,http://e-ecodb.bas.bg/rdb/bg/vol1/Dapponti.html,Странджанско бясно дърво,Daphne pontica,странджанско бясно дърво,Daphne pontica,todo,,
561,plants_fungi,vol1,Странджанско сапунче,Saponaria stranjensis,VU,no,,Q29106239,http://e-ecodb.bas.bg/rdb/bg/vol1/Sapstran.html,Странджанско сапунче,Saponaria stranjensis,странджанско сапунче,Saponaria stranjensis,todo,,
562,plants_fungi,vol1,Стрибърниева козя брада,Tragopogon stribrnyi,VU,no,,Q29106346,http://e-ecodb.bas.bg/rdb/bg/vol1/Trastrib.html,Стрибърниева козя брада,Tragopogon stribrnyi,стрибърниева козя брада,Tragopogon stribrnyi,todo,,
563,plants_fungi,vol1,Стрибърниево подрумиче,Anthemis stribrnyi,EN,no,,Q21238586,http://e-ecodb.bas.bg/rdb/bg/vol1/Antstrib.html,Стрибърниево подрумиче,Anthemis stribrnyi,стрибърниево подрумиче,Anthemis stribrnyi,todo,,
564,plants_fungi,vol1,Стрибърнов карамфил,Dianthus stribrnyi,VU,no,,Q15567407,http://e-ecodb.bas.bg/rdb/bg/vol1/Diastrib.html,Стрибърнов карамфил,Dianthus stribrnyi,стрибърнов карамфил,Dianthus stribrnyi,todo,,
565,plants_fungi,vol1,Стрибърнова ведрица,Fritillaria stribrnyi,CR,no,,Q15540319,http://e-ecodb.bas.bg/rdb/bg/vol1/Fristrib.html,Стрибърнова ведрица,Fritillaria stribrnyi,стрибърнова ведрица,Fritillaria stribrnyi,todo,,
566,plants_fungi,vol1,Стройна теменуга,Viola gracilis,EN,no,,Q17564279,http://e-ecodb.bas.bg/rdb/bg/vol1/Viograci.html,Стройна теменуга,Viola gracilis,стройна теменуга,Viola gracilis,todo,,
567,plants_fungi,vol1,Стройна флавосцифа,Flavoscypha cantharella,EN,no,,Q7108731,http://e-ecodb.bas.bg/rdb/bg/vol1/Flacanth.html,Стройна флавосцифа,Flavoscypha cantharella,Otidea concinna,Otidea concinna,todo,,
568,plants_fungi,vol1,Стъблообхващащ стрептопус,Streptopus amplexifolius,EN,no,,Q2067403,http://e-ecodb.bas.bg/rdb/bg/vol1/Strample.html,Стъблообхващащ стрептопус,Streptopus amplexifolius,листообхващащ стрептопус,Streptopus amplexifolius,todo,,
