id,group,redbook_vol,bg_name,taxon,redbook_status,wp_exists,wp_url,wikidata_qid,redbook_url,rb_bg_name,rb_taxon,wd_bg_name,wd_taxon,wd_rb_taxon_match,content_status,wd_linked,notes
380,plants_fungi,vol1,Ничичово прозорче,Potentilla nicicii,CR,no,,Q17249676,http://e-ecodb.bas.bg/rdb/bg/vol1/Potnicic.html,Ничичово прозорче,Potentilla nicicii,ничичово прозорче,Potentilla nicici,no,todo,,
384,plants_fungi,vol1,Обикновен еласмомицес,Elasmomyces mattirolianus,CR,no,,,http://e-ecodb.bas.bg/rdb/bg/vol1/Elamatti.html,Обикновен еласмомицес,Elasmomyces mattirolianus,,,,todo,,WD: no candidate
385,plants_fungi,vol1,Обикновен копър,Anetum graveolens,EN,no,,,http://e-ecodb.bas.bg/rdb/bg/vol1/Anegrave.html,Обикновен копър,Anetum graveolens,,,,todo,,WD: no candidate
393,plants_fungi,vol1,Обикновена скрежовка,Rozites caperatus,EN,yes,https://bg.wikipedia.org/wiki/Скрежовка,Q669036,http://e-ecodb.bas.bg/rdb/bg/vol1/Rozcaper.html,Обикновена скрежовка,Rozites caperatus,скрежовка,Cortinarius caperatus,no,todo,,Existing WP article under different title (Скрежовка); Q669036 already has bgwiki sitelink
399,plants_fungi,vol1,Опашаго диво жито,Aegilops dichasians,CR,no,,,http://e-ecodb.bas.bg/rdb/bg/vol1/Aegdicha.html,Опашаго диво жито,Aegilops dichasians,,,,todo,,WD: low score Q1764888 (73) Aegilops
406,plants_fungi,vol1,Островърха галилея,Galilea mucronata,EN,no,,,http://e-ecodb.bas.bg/rdb/bg/vol1/Galmucro.html,Островърха галилея,Galilea mucronata,,,,todo,,WD: no candidate
415,plants_fungi,vol1,Паразитна манатарка,Boletus parasiticus,CR,no,,Q761680,http://e-ecodb.bas.bg/rdb/bg/vol1/Bolparas.html,Паразитна манатарка,Boletus parasiticus,Паразитна манатарка,Pseudoboletus parasiticus,no,todo,,
465,plants_fungi,vol1,Пурпурна манатарка,Boletus rhodopurpureus,EN,no,,Q882829,http://e-ecodb.bas.bg/rdb/bg/vol1/Bolrhodo.html,Пурпурна манатарка,Boletus rhodopurpureus,Пурпурна манатарка,Imperator rhodopurpureus,no,todo,,
468,plants_fungi,vol1,Пълзящ хименолобус,Hymenolobus procumbens,CR,no,,Q4353762,http://e-ecodb.bas.bg/rdb/bg/vol1/Hymprocu.html,Пълзящ хименолобус,Hymenolobus procumbens,Hornungia procumbens,Hornungia procumbens,no,todo,,
479,plants_fungi,vol1,Ракитников фелинус,Phellinus hippopha¨icola,EN,no,,Q10626838,http://e-ecodb.bas.bg/rdb/bg/vol1/Phehippo.html,Ракитников фелинус,Phellinus hippopha¨icola,Phellinus hippophaëicola,Phellinus hippophaëicola,no,todo,,unexpected char in taxon
487,plants_fungi,vol1,Рилски ревен,Rheum rhaponticum,CR,yes,https://bg.wikipedia.org/wiki/Рилски_ревен,Q159084,http://e-ecodb.bas.bg/rdb/bg/vol1/Rherhapo.html,Рилски ревен,Rheum rhaponticum,алпийски лапад,Rumex alpinus,no,todo,,
494,plants_fungi,vol1,Родопски крем,Lilium rhodopaeum,CR,yes,https://bg.wikipedia.org/wiki/Родопски_крем,Q2148235,http://e-ecodb.bas.bg/rdb/bg/vol1/Lilrhodo.html,Родопски крем,Lilium rhodopaeum,родопски крем,Lilium rhodopeum,no,todo,,
498,plants_fungi,vol1,Родопско омразниче,Onosma rhodopea,EN,no,,Q21299757,http://e-ecodb.bas.bg/rdb/bg/vol1/Onorhodo.html,Родопско омразниче,Onosma rhodopea,родопско омразниче,Onosma rhodopaea,no,todo,,
515,plants_fungi,vol1,Северен амилоцистис,Amylocystis lapponicus,EN,no,,Q3744475,http://e-ecodb.bas.bg/rdb/bg/vol1/Amylappo.html,Северен амилоцистис,Amylocystis lapponicus,северен амилоцистис,Amylocystis lapponica,no,todo,,
519,plants_fungi,vol1,Сибирска масловка,Suillus sibiricus subsp. helveticus,EN,no,,Q452729,http://e-ecodb.bas.bg/rdb/bg/vol1/Suisibir.html,Сибирска масловка,Suillus sibiricus subsp. helveticus,сибирска масловка,Suillus sibiricus,no,todo,,
567,plants_fungi,vol1,Стройна флавосцифа,Flavoscypha cantharella,EN,no,,Q7108731,http://e-ecodb.bas.bg/rdb/bg/vol1/Flacanth.html,Стройна флавосцифа,Flavoscypha cantharella,Otidea concinna,Otidea concinna,no,todo,,
570,plants_fungi,vol1,Субалпийски спореж,Senecio subalpinus,CR,no,,Q3805815,http://e-ecodb.bas.bg/rdb/bg/vol1/Sensubal.html,Субалпийски спореж,Senecio subalpinus,Jacobaea subalpina,Jacobaea subalpina,no,todo,,
575,plants_fungi,vol1,Тамянка,Cistus salvifolius,EN,yes,https://bg.wikipedia.org/wiki/Тамянка,Q136801,http://e-ecodb.bas.bg/rdb/bg/vol1/Cissalvi.html,Тамянка,Cistus salvifolius,Cistus salviifolius,Cistus salviifolius,no,todo,,
588,plants_fungi,vol1,Торфена фолиота,Pholiota myosotis,EN,no,,Q54371248,http://e-ecodb.bas.bg/rdb/bg/vol1/Phomyoso.html,Торфена фолиота,Pholiota myosotis,Phaeonematoloma myosotis,Phaeonematoloma myosotis,no,todo,,
591,plants_fungi,vol1,Тракийска класица,Alopecurus thracicus,CR,yes,https://bg.wikipedia.org/wiki/Тракийска_класица,Q15503696,http://e-ecodb.bas.bg/rdb/bg/vol1/Alothrac.html,Тракийска класица,Alopecurus thracicus,тракийска класица,Alopecurus creticus,no,todo,,
592,plants_fungi,vol1,Тракийска овчарска торбичка,Capsella bursa-pastoris subsp. thracica,EN,no,,,http://e-ecodb.bas.bg/rdb/bg/vol1/Capbursa.html,Тракийска овчарска торбичка,Capsella bursa-pastoris subsp. thracica,,,,todo,,WD: no candidate
593,plants_fungi,vol1,Тракийски дъб,Quercus thracica,CR,yes,https://bg.wikipedia.org/wiki/Тракийски_дъб,Q157277,http://e-ecodb.bas.bg/rdb/bg/vol1/Quethrac.html,Тракийски дъб,Quercus thracica,цер,Quercus cerris,no,todo,,
